50,205,0.00163,0.000314
50,205,0.001529,0.000311
50,205,0.001474,0.000308
50,205,0.001639,0.000341
50,205,0.001543,0.000303
100,446,0.006436,0.000935
100,446,0.007173,0.000973
100,446,0.006849,0.000936
100,446,0.006775,0.000957
100,446,0.006645,0.000966
200,957,0.03114,0.002836
200,957,0.03034,0.003042
200,957,0.029413,0.002122
200,957,0.022275,0.002155
200,957,0.021708,0.003034
400,2036,0.10516,0.009102
400,2036,0.116578,0.008528
400,2036,0.119481,0.007559
400,2036,0.109866,0.008015
400,2036,0.104776,0.013031
600,3157,0.245756,0.015678
600,3157,0.248866,0.021134
600,3157,0.263301,0.017016
600,3157,0.269098,0.016444
600,3157,0.250194,0.015702
800,4303,0.452467,0.02967
800,4303,0.457568,0.032889
800,4303,0.475559,0.031172
800,4303,0.456013,0.033091
800,4303,0.453815,0.029238
1000,5467,0.744024,0.051209
1000,5467,0.724869,0.048842
1000,5467,0.742698,0.04816
1000,5467,0.712036,0.053987
1000,5467,0.732811,0.054065
2000,11471,3.26711,0.205267
2000,11471,3.23077,0.19491
2000,11471,3.24803,0.201534
2000,11471,3.27372,0.194297
2000,11471,3.23222,0.193804
3000,17659,7.63899,0.480061
3000,17659,7.56756,0.478562
3000,17659,7.62383,0.479882
3000,17659,7.80777,0.484516
3000,17659,7.59069,0.491223
50,205,0.001698,0.000354
50,205,0.001488,0.00032
50,205,0.001557,0.000342
50,205,0.001603,0.000339
50,205,0.001664,0.000329
100,446,0.006493,0.001059
100,446,0.006556,0.000924
100,446,0.006829,0.000905
100,446,0.007325,0.000929
100,446,0.00678,0.000976
200,957,0.030611,0.00307
200,957,0.029758,0.002834
200,957,0.029962,0.00299
200,957,0.026806,0.003011
200,957,0.02797,0.002312
400,2036,0.11086,0.008964
400,2036,0.109049,0.008511
400,2036,0.112413,0.0085
400,2036,0.105947,0.007633
400,2036,0.1092,0.01205
600,3157,0.261183,0.016545
600,3157,0.248098,0.018731
600,3157,0.264385,0.020116
600,3157,0.256356,0.021368
600,3157,0.258292,0.016837
800,4303,0.497637,0.03897
800,4303,0.448782,0.027828
800,4303,0.451173,0.028785
800,4303,0.480705,0.034996
800,4303,0.468384,0.032886
1000,5467,0.768491,0.047187
1000,5467,0.770371,0.044274
1000,5467,0.773495,0.049657
1000,5467,0.751634,0.049965
1000,5467,0.762982,0.054143
2000,11471,3.35218,0.20269
2000,11471,3.37891,0.206936
2000,11471,3.39861,0.1996
2000,11471,3.3937,0.204326
2000,11471,3.37854,0.201124
3000,17659,7.97678,0.480006
3000,17659,7.97304,0.486167
3000,17659,7.93009,0.496205
3000,17659,8.01801,0.466355
3000,17659,8.01593,0.481743
10,31,5.2e-05,2.6e-05
10,31,6.7e-05,3.7e-05
10,31,6.3e-05,4e-05
10,31,6.4e-05,3.7e-05
10,31,5.7e-05,3.4e-05
50,205,0.001076,0.000301
50,205,0.001559,0.000295
50,205,0.001516,0.000315
50,205,0.001586,0.00031
50,205,0.001582,0.000321
100,446,0.006656,0.000991
100,446,0.00677,0.000934
100,446,0.006641,0.000875
100,446,0.006689,0.000901
100,446,0.006917,0.000906
200,957,0.030556,0.003108
200,957,0.029227,0.002833
200,957,0.029636,0.002402
200,957,0.027941,0.002344
200,957,0.031023,0.002499
400,2036,0.110374,0.007718
400,2036,0.123293,0.010432
